trip_id,duration
1270563,86325
924015,86228
1270571,86110
1270573,86001
1173890,85900
1332798,85586
1332800,85555
1146707,85301
955909,85159
1146709,85105
1279347,85047
1146711,84847
921122,84712
975266,84384
1009870,84349
1046409,84334
955913,84220
1182053,84181
993049,84133
1046411,84080
1048312,83918
1210487,83915
1149471,83906
1137468,83836
1137469,83829
1191610,82896
947298,82374
1244903,81687
1011634,81484
984335,80744
1300446,80715
950067,80558
1147232,80153
1093106,79611
1201318,79554
1201320,79519
934946,78972
1270487,78667
1253529,78666
1155176,78123
1200474,78090
947714,77962
1147071,77599
1271218,77448
968507,77442
1270570,77172
1022869,77130
1061184,76700
1305472,76680
1292740,76675
1022875,76626
1254627,76526
1022872,76516
1292744,76466
1173554,76109
956022,76097
1263655,75597
1290982,75254
1178205,74995
1218719,74816
1108144,74771
1313799,74238
1197399,73781
1271936,73487
964670,73183
1330852,73165
1231935,72779
1092632,72590
1292748,72531
1092633,72529
1212516,72225
937911,71984
1022833,71552
1264074,71492
1128863,71285
1099729,71184
1149908,71113
1245608,70891
1172732,70102
947395,69955
1264290,69879
920526,69730
1254034,69681
1324416,69231
1210798,67926
1264289,67752
1133211,67375
1151662,67372
984162,66976
984161,66902
955910,66471
1282950,65638
955914,65587
948897,65191
1064888,64444
1099652,64306
1290042,64180
1290043,64137
1101642,63747
1270613,63565
1084369,63502
1084368,63452
1208430,62425
1068614,62168
925991,62155
1236108,62069
985785,62051
1050442,61900
919585,61831
1266744,61445
1003919,61234
931714,61077
1254673,60876
1170919,60729
984485,60362
947667,60136
1061402,59912
1170944,59661
1191086,59642
1041268,59586
1101607,59293
1102986,59088
1066352,58761
1024537,58759
1258373,58577
945030,58081
920516,57893
1109649,57845
1183390,57734
1190263,57319
1214651,57278
1001135,57187
955619,57043
1037571,57019
995914,56915
1064752,56718
1291419,56638
963367,56598
1023246,56596
1332677,56110
1245115,55649
1013072,55134
1297010,55018
1128854,54341
1099830,54199
1129823,54111
1099833,54090
938228,53982
1261869,53773
999771,53590
1128855,53572
1046719,53313
1066507,53033
1066508,53020
1136627,52889
1041744,52270
969262,52238
1279973,52051
1064904,52018
1270995,51987
1279980,51728
957464,51611
1076377,51243
1032967,51172
953926,51081
1078430,50928
1296410,50636
1168927,50606
1001591,50593
1162685,50495
933838,50241
1263715,50023
1064952,49928
1278138,49255
1260519,49237
992937,49229
1240232,48672
1064967,48441
1302260,48427
1042812,48129
1104963,47460
1310850,47449
1069345,47335
1006113,46924
1245186,46446
1122411,46320
1011667,46149
1315661,45947
917343,45904
1110204,45876
1059074,45846
1018105,45729
917353,45661
1016594,45618
1202223,45589
1073899,45162
1154682,44969
971182,44753
1082522,44567
932514,44488
1279255,44229
1074958,44070
1296978,43952
993323,43899
1227330,43726
1296979,43605
1107948,43593
1210545,43566
1155638,43422
1254821,43002
954455,42670
928855,42392
1214142,42103
1182055,42034
1262159,41939
1264051,41767
1107950,41766
1336844,41589
976908,41555
1117726,41493
1064996,41100
1124079,41092
1190140,41010
937981,40915
1147375,40782
1322410,40706
967711,40438
1270612,40256
1211684,40241
